 gamma	phi_min	H_ext
   1.7453293005625408E-002  -583616.65560611768       -2.0000000000000000     
   1.7453293005625408E-002  -583616.80020926229       -1.9600000381469727     
   1.7453293005625408E-002  -583616.80029922863       -1.9199999570846558     
   1.7453293005625408E-002  -583616.80039093923       -1.8799999952316284     
   1.7453293005625408E-002  -583616.80048455461       -1.8400000333786011     
   1.7453293005625408E-002  -583616.80058013718       -1.7999999523162842     
   1.7453293005625408E-002  -583616.80067774770       -1.7599999904632568     
   1.7453293005625408E-002  -583616.80077745498       -1.7200000286102295     
   1.7453293005625408E-002  -583616.80087985855       -1.6800000667572021     
   1.7453293005625408E-002  -583616.80098399636       -1.6399999856948853     
   1.7453293005625408E-002  -583616.80109043501       -1.6000000238418579     
   1.7453293005625408E-002  -583616.80119926075       -1.5599999427795410     
   1.7453293005625408E-002  -583616.80131055368       -1.5199999809265137     
   1.7453293005625408E-002  -583616.80142493930       -1.4800000190734863     
   1.7453293005625408E-002  -583616.80154146405       -1.4400000572204590     
   1.7453293005625408E-002  -583616.80166071537       -1.4000000953674316     
   1.7453293005625408E-002  -583616.80178280361       -1.3600000143051147     
   1.7453293005625408E-002  -583616.80190782668       -1.3199999332427979     
   1.7453293005625408E-002  -583616.80203644163       -1.2799999713897705     
   1.7453293005625408E-002  -583616.80216769862       -1.2400000095367432     
   1.7453293005625408E-002  -583616.80230222235       -1.2000000476837158     
   1.7453293005625408E-002  -583616.80244014645       -1.1600000858306885     
   1.7453293005625408E-002  -583616.80258159689       -1.1200000047683716     
   1.7453293005625408E-002  -583616.80272729718       -1.0800000429153442     
   1.7453293005625408E-002  -583616.80287626933       -1.0399999618530273     
   1.7453293005625408E-002  -583616.80302919459       -1.0000000000000000     
   1.7453293005625408E-002  -583616.80318624375      -0.96000003814697266     
   1.7453293005625408E-002  -583616.80334818072      -0.92000007629394531     
   1.7453293005625408E-002  -583616.80351404019      -0.87999999523162842     
   1.7453293005625408E-002  -583616.80368455336      -0.84000003337860107     
   1.7453293005625408E-002  -583616.80385992629      -0.80000007152557373     
   1.7453293005625408E-002  -583616.80404098891      -0.75999999046325684     
   1.7453293005625408E-002  -583616.80422677926      -0.72000002861022949     
   1.7453293005625408E-002  -583616.80441809318      -0.68000006675720215     
   1.7453293005625408E-002  -583616.80461580690      -0.63999998569488525     
   1.7453293005625408E-002  -583616.80481900705      -0.60000002384185791     
   1.7453293005625408E-002  -583616.80502853158      -0.56000006198883057     
   1.7453293005625408E-002  -583616.80524469586      -0.51999998092651367     
   1.7453293005625408E-002  -583616.80546848045      -0.48000001907348633     
   1.7453293005625408E-002  -583616.80569895403      -0.44000005722045898     
   1.7453293005625408E-002  -583616.80593708449      -0.40000009536743164     
   1.7453293005625408E-002  -583616.80618395412      -0.36000001430511475     
   1.7453293005625408E-002  -583616.80643866456      -0.32000005245208740     
   1.7453293005625408E-002  -583616.80670295132      -0.28000009059906006     
   1.7453293005625408E-002  -583616.80697602301      -0.24000000953674316     
   1.7453293005625408E-002  -583616.80725899211      -0.20000004768371582     
   1.7453293005625408E-002  -583616.80755312659      -0.16000008583068848     
   1.7453293005625408E-002  -583616.80785766465      -0.12000000476837158     
   1.7453293005625408E-002  -583616.80817458523       -8.0000042915344238E-002
   1.7453293005625408E-002  -583616.80850323709       -4.0000081062316895E-002
   1.7453293005625408E-002  -583616.80884570896        0.0000000000000000     
   1.7453293005625408E-002  -583616.80920145428        3.9999961853027344E-002
   1.7453293005625408E-002  -583616.80957270414        7.9999923706054688E-002
   1.7453293005625408E-002  -583616.80995903257       0.11999988555908203     
   1.7453293005625408E-002  -583616.81036285637       0.15999984741210938     
   1.7453293005625408E-002  -583616.81078388717       0.20000004768371582     
   1.7453293005625408E-002  -583616.81122477667       0.24000000953674316     
   1.7453293005625408E-002  -583616.81168539496       0.27999997138977051     
   1.7453293005625408E-002  -583616.81216870423       0.31999993324279785     
   1.7453293005625408E-002  -583616.81267555628       0.35999989509582520     
   1.7453293005625408E-002  -583616.81320694543       0.39999985694885254     
   1.7453293005625408E-002  -583616.81376636669       0.44000005722045898     
   1.7453293005625408E-002  -583616.81435519329       0.48000001907348633     
   1.7453293005625408E-002  -583616.81497499591       0.51999998092651367     
   1.7453293005625408E-002  -583616.81563005538       0.55999994277954102     
   1.7453293005625408E-002  -583616.81632251665       0.59999990463256836     
   1.7453293005625408E-002  -583616.81705567718       0.63999986648559570     
   1.7453293005625408E-002  -583616.81783323758       0.67999982833862305     
   1.7453293005625408E-002  -583616.81865936460       0.72000002861022949     
   1.7453293005625408E-002  -583616.81953876093       0.75999999046325684     
   1.7453293005625408E-002  -583616.82047675934       0.79999995231628418     
   1.7453293005625408E-002  -583616.82147943531       0.83999991416931152     
   1.7453293005625408E-002  -583616.82255372312       0.87999987602233887     
   1.7453293005625408E-002  -583616.82370856195       0.91999983787536621     
   1.7453293005625408E-002  -583616.82495129271       0.96000003814697266     
   1.7453293005625408E-002  -583616.82629348780        1.0000000000000000     
   1.7453293005625408E-002  -583616.82774869294        1.0399999618530273     
   1.7453293005625408E-002  -583616.82933059614        1.0799999237060547     
   1.7453293005625408E-002  -583616.83105553209        1.1199998855590820     
   1.7453293005625408E-002  -583616.83294632076        1.1599998474121094     
   1.7453293005625408E-002  -583616.83502687130        1.1999998092651367     
   1.7453293005625408E-002  -583616.83732860454        1.2400000095367432     
   1.7453293005625408E-002  -583616.83988646965        1.2799999713897705     
   1.7453293005625408E-002  -583616.84274886828        1.3199999332427979     
   1.7453293005625408E-002  -583616.84597277420        1.3599998950958252     
   1.7453293005625408E-002  -583616.84963239648        1.3999998569488525     
   1.7453293005625408E-002  -583616.85382556124        1.4399998188018799     
   1.7453293005625408E-002  -583616.85867923929        1.4800000190734863     
   1.7453293005625408E-002  -583616.86436938297        1.5199999809265137     
   1.7453293005625408E-002  -583616.87114001752        1.5599999427795410     
   1.7453293005625408E-002  -583616.87935290486        1.5999999046325684     
   1.7453293005625408E-002  -583616.88955956814        1.6399998664855957     
   1.7453293005625408E-002  -583616.90267984837        1.6799998283386230     
   1.7453293005625408E-002  -583616.92043027177        1.7200000286102295     
   1.7453293005625408E-002  -583616.94673178601        1.7599999904632568     
   1.7453293005625408E-002  -583616.99692025280        1.7999999523162842     
   1.7453293005625408E-002  -1144738.7886190156        1.8399999141693115     
   1.7453293005625408E-002  -1144739.8058411803        1.8799998760223389     
   1.7453293005625408E-002  -1144739.8057541877        1.9199998378753662     
   1.7453293005625408E-002  -1144739.8056637489        1.9599997997283936     
   1.7453293005625408E-002  -1144739.8055759792        2.0000000000000000     
   1.7453293005625408E-002  -1144739.8056593230        1.9600000381469727     
   1.7453293005625408E-002  -1144739.8057495505        1.9199999570846558     
   1.7453293005625408E-002  -1144739.8058412657        1.8799999952316284     
   1.7453293005625408E-002  -1144739.8059348806        1.8400000333786011     
   1.7453293005625408E-002  -1144739.8060304613        1.7999999523162842     
   1.7453293005625408E-002  -1144739.8061280733        1.7599999904632568     
   1.7453293005625408E-002  -1144739.8062277811        1.7200000286102295     
   1.7453293005625408E-002  -1144739.8063301833        1.6800000667572021     
   1.7453293005625408E-002  -1144739.8064343235        1.6399999856948853     
   1.7453293005625408E-002  -1144739.8065407614        1.6000000238418579     
   1.7453293005625408E-002  -1144739.8066495876        1.5599999427795410     
   1.7453293005625408E-002  -1144739.8067608811        1.5199999809265137     
   1.7453293005625408E-002  -1144739.8068752657        1.4800000190734863     
   1.7453293005625408E-002  -1144739.8069917890        1.4400000572204590     
   1.7453293005625408E-002  -1144739.8071110437        1.4000000953674316     
   1.7453293005625408E-002  -1144739.8072331296        1.3600000143051147     
   1.7453293005625408E-002  -1144739.8073581504        1.3199999332427979     
   1.7453293005625408E-002  -1144739.8074867676        1.2799999713897705     
   1.7453293005625408E-002  -1144739.8076180252        1.2400000095367432     
   1.7453293005625408E-002  -1144739.8077525478        1.2000000476837158     
   1.7453293005625408E-002  -1144739.8078904725        1.1600000858306885     
   1.7453293005625408E-002  -1144739.8080319255        1.1200000047683716     
   1.7453293005625408E-002  -1144739.8081776255        1.0800000429153442     
   1.7453293005625408E-002  -1144739.8083265955        1.0399999618530273     
   1.7453293005625408E-002  -1144739.8084795198        1.0000000000000000     
   1.7453293005625408E-002  -1144739.8086365710       0.96000003814697266     
   1.7453293005625408E-002  -1144739.8087985071       0.92000007629394531     
   1.7453293005625408E-002  -1144739.8089643668       0.87999999523162842     
   1.7453293005625408E-002  -1144739.8091348808       0.84000003337860107     
   1.7453293005625408E-002  -1144739.8093102528       0.80000007152557373     
   1.7453293005625408E-002  -1144739.8094913177       0.75999999046325684     
   1.7453293005625408E-002  -1144739.8096771054       0.72000002861022949     
   1.7453293005625408E-002  -1144739.8098684195       0.68000006675720215     
